Date,Value
1/1/1966,0.4026076
4/1/1966,0.3915969
7/1/1966,0.3956481
10/1/1966,0.3944413
1/1/1967,0.3911903
4/1/1967,0.3793832
7/1/1967,0.3876021
10/1/1967,0.3902434
1/1/1968,0.3835726
4/1/1968,0.3688657
7/1/1968,0.3725118
10/1/1968,0.369064
1/1/1969,0.3612076
4/1/1969,0.3489173
7/1/1969,0.349501
10/1/1969,0.3538253
1/1/1970,0.3531153
4/1/1970,0.3458499
7/1/1970,0.3478898
10/1/1970,0.356535
1/1/1971,0.3442327
4/1/1971,0.3426816
7/1/1971,0.3492909
10/1/1971,0.3553376
1/1/1972,0.3463641
4/1/1972,0.3357492
7/1/1972,0.3354042
10/1/1972,0.3366914
1/1/1973,0.3321547
4/1/1973,0.3225995
7/1/1973,0.3205832
10/1/1973,0.3171341
1/1/1974,0.3169031
4/1/1974,0.309109
7/1/1974,0.3079609
10/1/1974,0.3073387
1/1/1975,0.314682
4/1/1975,0.3218957
7/1/1975,0.3230523
10/1/1975,0.3265468
1/1/1976,0.3291258
4/1/1976,0.3341225
7/1/1976,0.3357318
10/1/1976,0.3371559
1/1/1977,0.335863
4/1/1977,0.327359
7/1/1977,0.3292688
10/1/1977,0.3315087
1/1/1978,0.334111
4/1/1978,0.3205615
7/1/1978,0.3216241
10/1/1978,0.3179466
1/1/1979,0.3147385
4/1/1979,0.3100709
7/1/1979,0.3095113
10/1/1979,0.3094869
1/1/1980,0.3087613
4/1/1980,0.3134448
7/1/1980,0.317378
10/1/1980,0.3107433
1/1/1981,0.3079798
4/1/1981,0.3066252
7/1/1981,0.3059779
10/1/1981,0.3133026
1/1/1982,0.3241795
4/1/1982,0.3240867
7/1/1982,0.3391747
10/1/1982,0.3512747
1/1/1983,0.3575821
4/1/1983,0.3682072
7/1/1983,0.3729954
10/1/1983,0.3716188
1/1/1984,0.3740904
4/1/1984,0.3767614
7/1/1984,0.3846619
10/1/1984,0.4009466
1/1/1985,0.40376
4/1/1985,0.4124863
7/1/1985,0.4148507
10/1/1985,0.4369859
1/1/1986,0.4399212
4/1/1986,0.4520875
7/1/1986,0.4600623
10/1/1986,0.4743297
1/1/1987,0.4743727
4/1/1987,0.478958
7/1/1987,0.4795994
10/1/1987,0.484145
1/1/1988,0.4886558
4/1/1988,0.4892094
7/1/1988,0.4910242
10/1/1988,0.4959432
1/1/1989,0.4958747
4/1/1989,0.4974634
7/1/1989,0.5002856
10/1/1989,0.5123701
1/1/1990,0.5180889
4/1/1990,0.5261777
7/1/1990,0.5362489
10/1/1990,0.558634
1/1/1991,0.572295
4/1/1991,0.5758819
7/1/1991,0.5894286
10/1/1991,0.6054334
1/1/1992,0.6082761
4/1/1992,0.6137511
7/1/1992,0.6171139
10/1/1992,0.6236576
1/1/1993,0.6269198
4/1/1993,0.6372189
7/1/1993,0.6389573
10/1/1993,0.6449333
1/1/1994,0.6412103
4/1/1994,0.639055
7/1/1994,0.6382697
10/1/1994,0.6420145
1/1/1995,0.6446551
4/1/1995,0.6510765
7/1/1995,0.645427
10/1/1995,0.6396134
1/1/1996,0.6483873
4/1/1996,0.6402129
7/1/1996,0.6403739
10/1/1996,0.6423444
1/1/1997,0.640422
4/1/1997,0.6286499
7/1/1997,0.6227877
10/1/1997,0.6261038
1/1/1998,0.623466
4/1/1998,0.6168004
7/1/1998,0.6041866
10/1/1998,0.6020156
1/1/1999,0.5982381
4/1/1999,0.5900157
7/1/1999,0.5823822
10/1/1999,0.5819094
1/1/2000,0.575555
4/1/2000,0.5531983
7/1/2000,0.5478382
10/1/2000,0.540685
1/1/2001,0.5494561
4/1/2001,0.5383154
7/1/2001,0.5458399
10/1/2001,0.5553941
1/1/2002,0.5543484
4/1/2002,0.5602726
7/1/2002,0.5643
10/1/2002,0.5768932
1/1/2003,0.5753089
4/1/2003,0.586606
7/1/2003,0.5835064
10/1/2003,0.5922047
1/1/2004,0.5948307
4/1/2004,0.5971674
7/1/2004,0.5966391
10/1/2004,0.6046825
1/1/2005,0.6069238
4/1/2005,0.6040108
7/1/2005,0.6007171
10/1/2005,0.6105707
1/1/2006,0.6133209
4/1/2006,0.6101568
7/1/2006,0.6116385
10/1/2006,0.6170892
1/1/2007,0.6217621
4/1/2007,0.6148587
7/1/2007,0.6182456
10/1/2007,0.6284633
1/1/2008,0.6433963
4/1/2008,0.6407889
7/1/2008,0.675384
10/1/2008,0.7353868
1/1/2009,0.7735691
4/1/2009,0.8050874
7/1/2009,0.8279856
10/1/2009,0.8451824
1/1/2010,0.8700386
4/1/2010,0.8867047
7/1/2010,0.9006437
10/1/2010,0.9208819
1/1/2011,0.9364575
4/1/2011,0.9277007
7/1/2011,0.9488834
10/1/2011,0.9643744
1/1/2012,0.9770011
4/1/2012,0.9834472
7/1/2012,0.9900381
10/1/2012,1.00831
1/1/2013,1.017965
4/1/2013,1.0119047
7/1/2013,0.9993361
10/1/2013,1.0091894
1/1/2014,1.0338338
4/1/2014,1.0200749
7/1/2014,1.0144951
10/1/2014,1.0253922
1/1/2015,1.0207189
4/1/2015,1.0085396
7/1/2015,1.0004805
10/1/2015,1.0383793
1/1/2016,1.0537885
4/1/2016,1.050487
7/1/2016,1.0480927
10/1/2016,1.058689
